tanggal,waktu,Tinggi Gelombang\m,Curah Hujan\m,Kecepatan Angin m/s
7/1/2025,12:00:00 AM,0.8145445,0,2.53076202 
7/1/2025,12:00:00 AM,0.61044294,4.77E-07,1.219485231
7/1/2025,12:00:00 AM,0.45053083,0,4.065566542
7/1/2025,12:00:00 AM,0.54989606,8.87E-05,3.792535546
7/1/2025,12:00:00 AM,0.6282652,0,2.328480248
7/1/2025,12:00:00 AM,0.7124937,0,2.364932932
7/1/2025,12:00:00 AM,0.7362974,0,4.556344766
7/1/2025,12:00:00 AM,0.40194684,0,2.072441749
7/1/2025,12:00:00 AM,0.5551451,0.000177383,3.248389216
7/1/2025,12:00:00 AM,0.6089781,3.34E-06,1.138064861
7/1/2025,12:00:00 AM,0.6475523,0,1.984832178
7/1/2025,12:00:00 AM,0.6224058,0.000131607,4.639960692
7/1/2025,12:00:00 AM,0.2878111,2.67E-05,4.822537316
7/1/2025,12:00:00 AM,0.24472028,1.24E-05,2.741003072
7/1/2025,12:00:00 AM,0.5617369,4.77E-06,2.447006804
7/1/2025,12:00:00 AM,0.5715025,0,1.236511349
7/1/2025,12:00:00 AM,0.5397642,0,1.311472824
7/1/2025,12:00:00 AM,0.46017438,0,3.346658279
7/1/2025,12:00:00 AM,0.33444196,4.77E-07,6.219502205
7/1/2025,12:00:00 AM,0.52072126,0,2.973573236
7/1/2025,12:00:00 AM,0.56393415,0,2.004566109
7/1/2025,12:00:00 AM,0.5484312,0,2.415881981
7/1/2025,12:00:00 AM,0.44796735,0,1.773582442
7/1/2025,12:00:00 AM,0.22042829,0,3.184091777
7/1/2025,12:00:00 AM,0.49557477,0,1.872958667
7/1/2025,12:00:00 AM,0.5535582,0,1.32639345
7/1/2025,12:00:00 AM,0.5424498,0,1.551478053
7/1/2025,12:00:00 AM,0.41659528,0,1.217525126
7/1/2025,12:00:00 AM,0.45541364,0,1.116577224
7/1/2025,12:00:00 AM,0.5246275,0,0.551276422
7/1/2025,12:00:00 AM,0.49899274,0,0.238331576
7/1/2025,12:00:00 AM,0.3042906,0,1.576274934
7/1/2025,12:00:00 AM,0.3539732,0,0.762597283
7/1/2025,12:00:00 AM,0.46737653,0,0.730426994
7/1/2025,12:00:00 AM,0.44332868,0,1.557542964
7/1/2025,12:00:00 AM,0.47360212,0,0.983449806
7/1/2025,12:00:00 AM,0.47250348,0,1.5126087
7/1/2025,12:00:00 AM,0.41928083,0,1.97515681
7/1/2025,12:00:00 AM,0.15267926,8.11E-06,2.188454305
7/1/2025,12:00:00 AM,0.6154478,0,3.477161105
7/1/2025,12:00:00 AM,0.5838316,0,3.875599884
7/1/2025,12:00:00 AM,0.5345152,0,4.554925692
7/1/2025,12:00:00 AM,0.4477232,0,3.734352886
7/1/2025,12:00:00 AM,0.17770368,0,0.961823205
7/1/2025,12:00:00 AM,0.16903669,3.72E-05,1.014095285
7/1/2025,1:00:00 AM,0.74866056,0,2.14208167
7/1/2025,1:00:00 AM,0.5603061,0,0.268989772
7/1/2025,1:00:00 AM,0.4093051,0,2.121724521
7/1/2025,1:00:00 AM,0.5408969,0,4.181900637
7/1/2025,1:00:00 AM,0.6084018,0,3.366291588
7/1/2025,1:00:00 AM,0.67261076,0,2.358305845
7/1/2025,1:00:00 AM,0.67187834,0,3.872681244
7/1/2025,1:00:00 AM,0.37402678,0,1.861956051
7/1/2025,1:00:00 AM,0.5437045,2.05E-05,4.429839407
7/1/2025,1:00:00 AM,0.58679533,0,2.455515132
7/1/2025,1:00:00 AM,0.60242033,0,0.734514436
7/1/2025,1:00:00 AM,0.5699496,0,4.368026826
7/1/2025,1:00:00 AM,0.28027678,1.00E-05,4.988657137
7/1/2025,1:00:00 AM,0.24756193,2.38E-05,2.871416489
7/1/2025,1:00:00 AM,0.54639006,0,3.907301512
7/1/2025,1:00:00 AM,0.5499301,0,3.147588374
7/1/2025,1:00:00 AM,0.49548674,0,2.169506478
